route,bird,flight,date,start_time,rel_lat,rel_lon,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,precipitation,shortwave_radiation,surface_pressure
R3,A_D09,06,2011-06-08,08:48:11,51.79212,-1.17178,99,99,17,0,22.2,222,41.8,11.2,0.0,197.0,989.1
R3,A_D16,01,2011-05-25,10:27:36,51.79224,-1.17207,96,0,49,95,17.0,175,34.6,13.2,0.0,577.0,1010.2
R3,A_D16,02,2011-05-31,10:12:36,51.79213,-1.17176,31,30,7,0,19.4,312,38.2,10.6,0.0,553.0,1004.7
R3,A_D16,03,2011-05-31,17:09:00,51.79214,-1.17172,19,7,17,0,16.7,295,33.1,14.6,0.1,551.0,1008.3
R3,A_D16,04,2011-06-02,11:56:59,51.7921,-1.1717,65,65,0,0,7.4,29,24.1,18.2,0.0,680.0,1019.9
R3,A_D16,05,2011-06-03,10:30:17,51.79219,-1.17171,23,20,0,3,19.2,50,36.7,16.8,0.0,583.0,1018.6
R3,A_D16,06,2011-06-08,08:59:38,51.79219,-1.1715,99,99,17,0,22.2,222,41.8,11.2,0.0,197.0,989.1
R3,A_D83,01,2011-05-25,09:39:03,51.79214,-1.17168,89,0,64,86,13.7,166,27.7,11.5,0.0,429.0,1010.9
R3,A_D83,02,2011-05-31,10:30:05,51.79213,-1.17174,31,30,7,0,19.4,312,38.2,10.6,0.0,553.0,1004.7
R3,A_D83,03,2011-05-31,16:39:42,51.79212,-1.17167,13,5,9,0,15.0,297,33.1,14.8,0.0,713.0,1007.8
R3,A_D83,04,2011-06-02,11:15:27,51.79205,-1.17163,65,65,0,0,7.4,29,24.1,18.2,0.0,680.0,1019.9
R3,A_D83,05,2011-06-03,10:59:36,51.79216,-1.17168,23,20,0,3,19.2,50,36.7,16.8,0.0,583.0,1018.6
R3,A_D83,06,2011-06-07,10:16:46,51.79217,-1.17183,95,93,49,0,19.5,205,37.1,13.4,0.0,513.0,989.0
R3,A_D94,01,2011-05-25,09:06:06,51.79214,-1.17162,89,0,64,86,13.7,166,27.7,11.5,0.0,429.0,1010.9
R3,A_D94,02,2011-05-31,09:31:05,51.79215,-1.17177,33,33,1,0,18.4,310,37.1,9.4,0.0,420.0,1003.9
R3,A_D94,03,2011-05-31,16:59:48,51.79211,-1.17176,13,5,9,0,15.0,297,33.1,14.8,0.0,713.0,1007.8
R3,A_D94,04,2011-06-02,11:24:36,51.79211,-1.17167,65,65,0,0,7.4,29,24.1,18.2,0.0,680.0,1019.9
R3,A_D94,05,2011-06-03,10:44:59,51.79213,-1.17172,23,20,0,3,19.2,50,36.7,16.8,0.0,583.0,1018.6
R3,A_D94,06,2011-06-07,10:41:29,51.79212,-1.17179,95,93,49,0,19.5,205,37.1,13.4,0.0,513.0,989.0
